Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,CMT-8504-100,
"C1, C15, C2, C3, C8",0603,5,1u,
"C10, C11, C12",0603,3,4u7,
"C13, C14",0603,2,14p,
"C16, C17, C6, C7, C9",0603,5,0.1u,
"C18, C19",0603,2,10u,
C20,0603,1,220n,
"C21, C4, C5",0603,3,100n,
D1,0603,1,power,
D10,D_SOD-323_HandSoldering,1,D_Small,
D2,0603,1,LED_FIX,
"D3, D4, D7",D_SOD-323_HandSoldering,3,3V,
"D5, D6, D8",0603,3,15V,
D9,0603,1,status,
"F1, F2, F3",1210,3,Polyfuse,
"FB2, FB4",0805,2,BLM18KG102SN1D,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad_Via,4,MountingHole_Pad,
IC1,SOT-23-6_Handsoldering,1,LMR50410Y3,
J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,xt30,
J2,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,jst gh 6,
J3,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,jst gh 4,
J6,SMA_Amphenol_901-143_Horizontal,1,SMA,
J7,TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal,1,Screw_Terminal_01x06,
J8,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J9,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,jst_sh 6,
L2,L_Wurth_WE-LQSH-3012,1,4.7u,
Q1,SOT-23,1,MMBT3904,
"R1, R18, R20, R27, R28, R29, R30",0603,7,10k,
"R10, R14, R19, R9",0603,4,470,
"R11, R12, R17, R3, R4, R5",0603,6,3k,
"R13, R15, R16, R6",0603,4,5k1,
R2,0603,1,2k2,
R25,0603,1,120,
SW1,SW_SPST_B3U-1000P,1,SW_SPST,
"U10, U11, U9",SOIC_050ASTR_STM,3,VN7050ASTR,
U12,HOPERF_RFM9XW_SMD,1,RFM98W-433S2,
U13,LQFP-48_7x7mm_P0.5mm,1,STM32U575CGTx,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSO32,
U4,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN332,
U6,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U7,LGA-12_2x2mm_P0.5mm,1,LIS2MDL,
U8,Quectel_L80-R,1,LC86,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,48MHz,
