Designator,Mid X,Mid Y,Rotation,Layer
BZ1,187.325,-104.775,180.0,top
C1,177.958225,-104.387137,180.0,bottom
C10,186.476008,-74.381992,315.0,bottom
C11,181.102,-81.026,45.0,bottom
C12,191.221992,-88.432008,135.0,bottom
C13,192.696046,-73.496046,180.0,bottom
C14,195.58,-75.692,90.0,bottom
C15,170.849635,-92.865413,90.0,bottom
C16,190.0,-68.5,180.0,bottom
C17,175.2,-52.6,180.0,bottom
C18,175.984189,-91.335234,180.0,bottom
C19,175.959189,-92.835234,180.0,bottom
C2,177.983225,-99.387137,0.0,bottom
C20,173.744378,-59.244378,90.0,bottom
C21,175.8,-56.8,0.0,bottom
C3,177.983225,-100.887137,0.0,bottom
C4,174.968339,-104.395325,180.0,bottom
C5,174.425559,-95.377946,270.0,bottom
C6,178.816,-59.221,270.0,bottom
C7,171.825,-52.6,0.0,bottom
C8,171.849635,-95.615413,180.0,bottom
C9,180.835,-63.246,180.0,bottom
D1,197.358,-91.757,270.0,top
D10,168.656,-90.17,90.0,bottom
D2,197.358,-82.487,270.0,top
D3,181.102,-92.055,270.0,bottom
D4,183.896,-92.055,270.0,bottom
D5,184.3785,-116.84,0.0,bottom
D6,189.7635,-116.84,0.0,bottom
D7,186.69,-92.055,270.0,bottom
D8,195.8085,-116.84,0.0,bottom
D9,197.358,-87.1475,270.0,top
F1,183.388,-111.76,180.0,bottom
F2,189.484,-111.76,180.0,bottom
F3,195.704,-111.76,180.0,bottom
FB2,177.958225,-102.637137,180.0,bottom
FB4,172.599635,-92.865413,270.0,bottom
IC1,176.966588,-96.125408,90.0,bottom
J1,172.3,-112.585,180.0,top
J2,196.35,-67.425,270.0,top
J3,196.365942,-56.503307,270.0,top
J6,181.864,-49.062,0.0,top
J7,189.738,-114.808,180.0,top
J8,168.91,-82.55,90.0,bottom
J9,167.48151,-72.32764,90.0,bottom
L2,173.180174,-98.630976,0.0,bottom
Q1,189.6595,-99.06,180.0,bottom
R1,181.61,-99.822,90.0,bottom
R10,195.326,-82.487,270.0,top
R11,195.8085,-119.888,180.0,bottom
R12,195.8085,-118.364,0.0,bottom
R13,174.244,-85.153,270.0,bottom
R14,195.326,-87.1475,270.0,top
R15,181.356,-70.104,0.0,bottom
R16,178.117,-70.104,180.0,bottom
R17,184.404,-118.364,0.0,bottom
R18,172.974,-69.151,90.0,bottom
R19,190.183,-96.266,180.0,bottom
R2,181.61,-96.711,90.0,bottom
R20,190.183,-94.742,0.0,bottom
R25,189.25,-57.5,270.0,bottom
R27,171.704,-74.993,90.0,bottom
R28,185.611,-97.028,0.0,bottom
R29,185.611,-98.806,0.0,bottom
R3,184.3785,-119.888,180.0,bottom
R30,185.611,-100.584,0.0,bottom
R4,189.7635,-119.888,180.0,bottom
R5,189.7635,-118.364,0.0,bottom
R6,174.244,-79.565,90.0,bottom
R9,195.326,-91.757,270.0,top
SW1,179.342955,-87.957669,90.0,bottom
U10,189.611,-105.84815,270.0,bottom
U11,195.707,-105.84815,270.0,bottom
U12,175.26,-63.754,90.0,top
U13,188.214,-81.574008,225.0,bottom
U2,179.07,-83.566,225.0,bottom
U3,181.864,-59.436,90.0,bottom
U4,180.822,-65.845,270.0,bottom
U5,189.994187,-63.749999,0.0,bottom
U6,169.672,-60.452,0.0,bottom
U7,175.986849,-59.492485,90.0,bottom
U8,182.407945,-86.86,180.0,top
U9,183.515,-105.84815,270.0,bottom
Y1,192.972082,-75.878082,180.0,bottom
